id,name,prefecture,latitude,longitude,source
28034,山陰海岸ジオパーク浜坂の郷,兵庫県,35.610649,134.469807,mlit
28035,銀の馬車道・神河,兵庫県,35.091049,134.77821,mlit
28036,よかわ,兵庫県,32.971411,131.517609,osm
29001,吉野路　大塔,奈良県,34.214249,135.732903,mlit
29002,吉野路　上北山,奈良県,34.139756,136.000117,mlit
29003,杉の湯　川上,奈良県,34.337041,135.954886,mlit
29004,吉野路　黒滝,奈良県,34.305987,135.822886,mlit
29005,ふたかみパーク當麻,奈良県,34.526508,135.693276,mlit
29006,宇陀路大宇陀,奈良県,34.476073,135.932188,mlit
29007,十津川郷,奈良県,33.988284,135.793168,mlit
29008,宇陀路室生,奈良県,34.576544,136.034237,mlit
29009,針Ｔ・Ｒ・Ｓ,奈良県,34.610429,135.963208,mlit
29010,大和路へぐり,奈良県,34.623538,135.706248,mlit
29011,吉野路　大淀ｉセンター,奈良県,34.412209,135.796917,mlit
29012,伊勢本街道　御杖,奈良県,34.515403,136.200081,mlit
29013,かつらぎ,奈良県,34.495401,135.704788,mlit
29014,レスティ唐古・鍵,奈良県,34.571407,135.797418,mlit
29015,飛鳥,奈良県,34.464724,135.798611,mlit
29016,なら歴史芸術文化村,奈良県,34.589603,135.848056,osm
29017,クロスウェイなかまち,奈良県,34.66946,135.754987,osm
29018,きなりの郷下北山,奈良県,34.0144,135.9019,approx
30001,しみず,和歌山県,34.088245,135.44327,mlit
30002,San　Pin  中津,和歌山県,33.950318,135.263337,mlit
30003,ふるさとセンター大塔,和歌山県,33.742789,135.501854,mlit
30004,龍神,和歌山県,33.96546,135.564835,mlit
30005,イノブータンランド・すさみ,和歌山県,33.519882,135.545723,mlit
30006,志原海岸,和歌山県,33.570451,135.431421,mlit
30007,熊野古道中辺路,和歌山県,33.81208,135.594971,mlit
30008,しらまの里,和歌山県,34.015072,135.334465,mlit
30009,みなべうめ振興館,和歌山県,33.790697,135.327078,mlit
30010,紀州備長炭記念公園,和歌山県,33.803251,135.427282,mlit
30011,瀞峡街道熊野川,和歌山県,33.791406,135.897097,mlit
30012,紀の川万葉の里,和歌山県,34.28451,135.464531,mlit
30013,奥熊野古道ほんぐう,和歌山県,33.865241,135.761985,mlit
30014,おくとろ,和歌山県,33.939828,135.946428,mlit
30015,水の郷日高川　龍游,和歌山県,33.895542,135.439311,mlit
30016,明恵ふるさと館,和歌山県,34.054079,135.262895,mlit
30017,根来さくらの里,和歌山県,34.311864,135.306998,mlit
30018,あらぎの里,和歌山県,34.093046,135.412814,mlit
30019,一枚岩,和歌山県,33.545947,135.720118,mlit
30020,白崎海洋公園,和歌山県,33.977345,135.069727,mlit
30021,椿はなの湯,和歌山県,33.603276,135.391758,mlit
30022,なち,和歌山県,33.644367,135.936672,mlit
30023,瀧之拝太郎,和歌山県,33.601578,135.765646,mlit
30024,田辺市龍神ごまさんスカイタワー,和歌山県,34.061127,135.564341,mlit
30025,くしもと橋杭岩,和歌山県,33.488152,135.794406,mlit
30026,柿の郷くどやま,和歌山県,34.2932,135.555557,mlit
30027,虫喰岩,和歌山県,33.539756,135.826121,mlit
30028,くちくまの,和歌山県,33.691425,135.414569,mlit
30029,すさみ,和歌山県,33.505838,135.599887,mlit
30030,かつらぎ西,和歌山県,34.297741,135.473828,mlit
30031,たいじ,和歌山県,33.592362,135.933713,mlit
30032,青洲の里,和歌山県,34.280741,135.441755,mlit
30033,くしがきの里,和歌山県,34.31829,135.477346,mlit
30034,ねごろ歴史の丘,和歌山県,34.286813,135.311361,mlit
30035,四季の郷公園,和歌山県,34.1928,135.2389,approx
30036,海南サクアス,和歌山県,34.128212,135.170194,osm
31001,大栄,鳥取県,35.49874,133.76178,mlit
31002,三朝・楽市楽座,鳥取県,35.366321,133.850308,mlit
31003,ほうじょう,鳥取県,35.497872,133.820632,osm
31004,ポート赤碕,鳥取県,35.507059,133.662462,mlit
31005,はっとう,鳥取県,35.366534,134.339563,mlit
31006,犬挟,鳥取県,35.329304,133.7561,mlit
31007,はわい,鳥取県,35.494298,133.890476,mlit
31008,神話の里　白うさぎ,鳥取県,35.525536,134.114316,mlit
31009,清流茶屋　かわはら,鳥取県,35.393122,134.202954,mlit
31010,若桜,鳥取県,35.343886,134.400272,mlit
31011,大山恵みの里,鳥取県,35.504663,133.502081,mlit
31012,燕趙園,鳥取県,35.464691,133.89264,mlit
31013,きなんせ岩美,鳥取県,35.567411,134.325986,mlit
31014,奥大山,鳥取県,35.29611,133.474076,mlit
31015,にちなん日野川の郷,鳥取県,35.170682,133.310933,mlit
31016,琴の浦,鳥取県,35.502427,133.6585,mlit
31017,西いなば 気楽里,鳥取県,35.497461,134.053514,osm
32001,掛合の里,島根県,35.210932,132.817038,mlit
32002,頓原,島根県,35.089786,132.785617,mlit
32003,ゆうひパーク浜田,島根県,34.889025,132.071246,mlit
32004,ゆうひパーク三隅,島根県,34.820353,131.976837,mlit
32005,邑南の里,島根県,34.88,132.45,approx
32006,グリーンロード大和,島根県,34.967579,132.641738,mlit
32007,大社ご縁広場,島根県,35.389226,132.686398,mlit
32008,サンエイト美都,島根県,34.68777,132.022132,mlit
32009,奥出雲おろちループ,島根県,35.095954,133.127831,mlit
32010,広瀬・富田城,島根県,35.368338,133.180614,mlit
32011,赤来高原,島根県,34.999046,132.713808,mlit
32012,かきのきむら,島根県,34.442285,131.867742,mlit
32013,キララ多伎,島根県,35.290726,132.632428,mlit
32014,湯の川,島根県,35.395672,132.869297,mlit
32015,シルクウェイにちはら,島根県,34.553541,131.808066,mlit
32016,秋鹿なぎさ公園,島根県,35.474545,132.950724,mlit
32017,津和野温泉なごみの里,島根県,34.450178,131.760771,mlit
32018,さくらの里きすき,島根県,35.318905,132.912142,mlit
32019,本庄,島根県,35.518244,133.136587,mlit
32020,匹見峡,島根県,34.643441,132.091415,mlit
32021,酒蔵奥出雲交流館,島根県,35.227205,133.086772,mlit
32022,インフォメーションセンターかわもと,島根県,34.966,132.47299,mlit
32023,むいかいち温泉,島根県,34.35291,131.943843,mlit
32024,ロード銀山,島根県,35.222053,132.514011,mlit
32025,サンピコごうつ,島根県,35.045125,132.29894,mlit
32026,おろちの里,島根県,35.220303,132.962075,mlit
32027,あらエッサ,島根県,35.409548,133.312406,mlit
32028,たたらば壱番地,島根県,35.167018,132.830279,mlit
32029,ごいせ仁摩,島根県,35.145955,132.412989,osm
33001,かもがわ円城,岡山県,34.892286,133.813971,mlit
33002,がいせん桜　新庄宿,岡山県,35.175742,133.571936,osm
33003,あわくらんど,岡山県,35.180196,134.33522,mlit
33004,くめなん,岡山県,34.912267,133.947028,mlit
33005,みやま公園,岡山県,34.520201,133.926904,mlit
33006,一本松展望園,岡山県,34.65636,134.165713,mlit
33007,黒井山グリーンパーク,岡山県,34.693559,134.20531,mlit
33008,鯉が窪,岡山県,34.93205,133.331722,mlit
33009,蒜山高原,岡山県,35.294904,133.66756,mlit
33010,風の家,岡山県,35.276831,133.623942,mlit
33011,彩菜茶屋,岡山県,35.014721,134.150897,mlit
33012,奥津温泉,岡山県,35.223386,133.922855,mlit
33013,久米の里,岡山県,35.056042,133.922895,mlit
33014,醍醐の里,岡山県,34.99104,133.725533,mlit
33015,かよう,岡山県,34.816441,133.705327,mlit
33016,笠岡ベイファーム,岡山県,34.473317,133.500244,mlit
33017,山陽道やかげ宿,岡山県,34.623654,133.592361,osm
34001,リストアステーション,広島県,34.784591,133.071314,mlit
34002,遊ＹＯＵさろん東城,広島県,34.88967,133.275712,mlit
34003,さんわ182ステーション,広島県,34.673486,133.299869,mlit
34004,豊平どんぐり村,広島県,34.646858,132.444698,mlit
34005,来夢とごうち,広島県,34.574415,132.269829,mlit
34006,よがんす白竜,広島県,34.506471,132.913945,mlit
34007,アリストぬまくま,広島県,34.394684,133.317308,mlit
